total_income,essentials_percentage,savings_percentage,investments_percentage,discretionary_percentage,risk_tolerance,financial_status
4057,50.4,17.16,18.05,14.39,Low,stable
5758,54.88,19.86,10.24,15.03,Medium,strain
5327,45.81,11.28,21.7,21.21,Medium,strain
5187,60.73,9.08,18.71,11.48,Low,strain
4019,47.01,14.96,25.1,12.93,Low,growth
5394,48.3,7.05,9.42,35.23,High,stable
4264,50.71,18.17,11.52,19.6,Low,stable
4794,63.27,25.99,28.04,0.0,High,growth
4113,56.38,7.97,28.25,7.4,High,stable
5512,43.97,7.82,16.06,32.16,Low,stable
5351,56.81,7.01,6.19,29.99,Low,stable
4542,55.7,26.2,12.66,5.44,High,stable
4647,67.24,7.02,11.18,14.56,Low,stable
4579,63.66,29.59,15.37,0.0,High,strain
5089,55.9,13.96,12.95,17.2,High,stable
5316,43.66,13.22,25.72,17.4,Medium,strain
4025,61.18,7.29,5.08,26.45,High,strain
5573,53.01,19.64,21.12,6.23,Medium,strain
4001,69.41,19.65,21.61,0.0,Low,strain
4911,39.9,17.35,21.52,21.24,High,growth
5573,33.19,12.78,18.01,36.02,High,strain
4141,32.8,14.21,20.28,32.71,Low,growth
5768,55.6,13.01,25.26,6.12,Low,growth
4648,67.57,15.65,24.6,0.0,Low,strain
5925,30.08,13.54,5.87,50.51,High,stable
4188,59.03,21.89,5.76,13.32,Low,stable
5152,56.28,12.39,25.97,5.35,Low,strain
4201,59.29,13.77,19.37,7.57,Medium,strain
5151,44.22,15.89,28.94,10.96,Medium,growth
4257,62.82,5.1,15.79,16.29,High,growth
5700,31.79,17.3,9.42,41.49,Low,stable
4547,60.22,11.4,16.83,11.56,Low,growth
4194,40.68,6.4,15.91,37.0,Medium,growth
4703,49.07,27.78,17.93,5.22,High,strain
5128,62.91,13.06,25.2,0.0,Low,growth
5559,40.85,15.65,21.39,22.1,High,growth
5289,37.41,25.68,9.63,27.28,Medium,growth
4802,57.25,9.17,23.36,10.22,Low,stable
4942,51.34,26.26,19.8,2.61,Medium,strain
5998,50.58,11.04,19.46,18.93,Medium,stable
5408,40.27,19.73,21.96,18.05,Medium,strain
5284,31.4,22.14,19.1,27.36,Low,strain
4414,46.41,27.63,16.44,9.53,High,growth
5382,34.26,20.19,21.01,24.54,Low,stable
5099,66.24,16.33,23.09,0.0,Medium,stable
5379,31.65,19.31,10.64,38.4,High,growth
5608,47.27,10.05,17.43,25.26,Medium,stable
5795,32.09,22.23,16.45,29.23,Low,strain
4910,33.82,9.67,6.0,50.51,High,strain
4188,56.35,18.93,25.86,0.0,Low,strain
5997,55.88,21.19,14.43,8.49,High,growth
5709,31.32,27.46,6.82,34.4,Medium,stable
5314,30.05,16.25,16.45,37.25,Medium,strain
4045,33.15,24.38,9.04,33.43,Medium,growth
5597,60.52,9.19,22.61,7.68,Low,strain
4083,53.38,8.9,19.29,18.42,Low,strain
5147,31.52,18.12,11.75,38.6,Medium,stable
4358,49.52,19.91,28.76,1.81,Medium,growth
5552,58.48,20.81,12.29,8.42,High,strain
5090,64.76,23.64,18.87,0.0,High,strain
4936,67.36,12.37,25.04,0.0,Low,growth
5681,43.1,20.57,17.85,18.49,High,growth
4375,35.43,9.7,29.02,25.84,Low,stable
4162,39.48,10.47,26.1,23.95,Low,strain
5770,61.05,6.68,28.03,4.24,High,stable
5404,68.86,23.68,14.32,0.0,High,strain
5680,48.66,17.67,18.71,14.96,High,stable
5382,42.21,10.95,26.0,20.83,Medium,strain
5212,47.17,18.91,27.59,6.34,Medium,growth
4322,42.19,13.86,28.61,15.34,High,stable
4450,40.26,25.93,26.98,6.83,Medium,growth
5498,53.75,18.2,23.27,4.78,Low,strain
5037,30.63,5.75,5.61,58.02,Medium,growth
4184,40.38,29.63,12.87,17.12,Medium,stable
4111,56.46,6.86,8.22,28.46,Medium,stable
5951,31.28,22.4,8.87,37.45,Low,growth
4508,33.33,15.93,12.27,38.47,Low,strain
5314,41.74,11.23,6.87,40.16,High,stable
4295,65.11,21.91,11.08,1.9,Medium,strain
5475,60.6,8.15,28.92,2.33,Medium,stable
4904,30.89,26.46,12.8,29.86,Low,strain
5239,50.07,11.27,8.99,29.67,Medium,strain
4974,40.99,14.04,22.96,22.02,Low,growth
4632,55.95,20.82,25.71,0.0,Medium,strain
5918,58.86,5.03,12.85,23.26,High,stable
5591,64.51,16.82,11.96,6.7,Low,growth
5051,49.02,27.36,11.04,12.58,Low,stable
5654,69.78,22.01,14.83,0.0,Low,growth
4733,69.2,14.7,7.18,8.92,Medium,growth
5255,65.29,21.51,21.73,0.0,High,strain
5589,52.99,28.41,25.56,0.0,Low,strain
5831,45.92,9.7,21.59,22.79,High,stable
4321,44.58,18.3,15.53,21.6,Low,stable
4913,30.48,10.87,12.22,46.42,High,strain
5257,39.97,26.36,15.24,18.44,Medium,stable
5694,58.75,23.03,15.6,2.63,Medium,stable
4437,54.15,25.03,21.65,0.0,High,strain
4781,66.66,28.58,28.2,0.0,High,growth
5557,32.0,10.81,6.76,50.43,Medium,strain
5427,36.21,6.22,28.83,28.74,High,stable
5077,61.57,12.27,27.76,0.0,High,growth
5811,44.34,14.98,7.94,32.74,High,strain
5337,34.73,20.63,9.59,35.05,Low,growth
5305,69.86,24.94,12.79,0.0,High,stable
4726,61.49,13.75,18.99,5.77,Low,growth
4031,46.35,16.84,8.36,28.45,Medium,stable
4337,62.93,24.64,10.01,2.42,Medium,strain
4183,57.22,10.63,27.57,4.58,Medium,growth
5047,61.6,10.43,7.73,20.24,High,growth
4544,62.61,19.73,14.97,2.69,Medium,growth
5470,33.39,15.9,24.08,26.63,Low,stable
5098,54.92,28.72,27.21,0.0,Low,strain
5034,30.27,13.93,13.4,42.4,High,strain
5508,31.74,23.99,9.11,35.16,Low,stable
5480,66.16,19.58,23.43,0.0,Low,growth
5590,51.1,6.36,24.31,18.22,Medium,stable
5588,59.44,7.11,29.5,3.95,Low,stable
4660,63.54,10.08,8.49,17.89,Medium,strain
4160,67.98,8.58,22.74,0.7,Medium,stable
5906,64.77,13.23,15.43,6.56,Low,growth
5038,49.33,19.47,27.87,3.33,Low,stable
5202,43.44,20.06,15.2,21.31,High,stable
4412,36.18,19.69,16.15,27.98,High,stable
5902,46.01,7.94,8.17,37.88,Low,growth
5012,44.66,20.01,13.02,22.31,Medium,stable
4053,52.38,15.24,15.02,17.35,Medium,strain
4408,56.62,27.58,5.44,10.37,High,stable
4847,69.13,27.8,15.94,0.0,Medium,stable
5046,59.14,24.2,13.41,3.25,High,strain
5054,55.75,22.58,25.1,0.0,Medium,strain
4703,43.4,7.87,7.68,41.04,Low,strain
4260,31.38,7.12,24.01,37.5,Low,strain
5229,41.53,26.02,22.85,9.6,Medium,strain
5083,60.74,15.68,11.04,12.54,High,strain
5495,38.21,16.28,7.08,38.42,Low,growth
4776,58.49,26.19,26.05,0.0,High,stable
5490,53.19,20.54,11.24,15.04,Low,growth
5036,36.87,9.49,8.64,45.0,Medium,growth
5655,40.46,10.28,13.98,35.28,Low,strain
5951,49.85,5.16,15.02,29.97,Medium,stable
5998,46.73,22.77,13.15,17.35,High,growth
5314,61.14,17.14,29.41,0.0,Low,stable
4850,59.38,28.75,27.02,0.0,High,stable
5784,52.98,22.85,26.82,0.0,High,strain
4354,62.89,7.58,14.97,14.56,Medium,stable
5663,52.51,9.04,29.07,9.38,High,growth
5099,68.58,17.54,22.1,0.0,Low,growth
4873,38.69,28.12,25.8,7.39,Medium,strain
5740,58.57,11.18,17.52,12.73,Medium,growth
5585,44.8,25.64,9.02,20.55,Medium,strain
5615,41.16,12.81,27.17,18.86,High,growth
5465,37.22,11.75,17.16,33.88,Low,growth
4991,52.1,27.53,29.21,0.0,Low,strain
5265,38.62,6.18,11.37,43.83,Low,stable
5018,38.01,21.52,29.81,10.66,Medium,strain
5885,69.62,6.08,10.56,13.74,Medium,stable
5178,62.07,25.02,14.2,0.0,Low,stable
5810,59.93,25.74,19.85,0.0,High,strain
5120,61.76,27.33,22.33,0.0,Medium,strain
5750,68.76,9.65,23.01,0.0,Low,strain
4294,52.93,8.11,16.91,22.05,High,stable
4209,38.81,17.59,6.92,36.68,Medium,stable
5367,64.49,11.79,17.4,6.32,Medium,stable
5112,59.71,20.16,13.37,6.77,Medium,stable
4818,46.57,17.84,21.44,14.14,Low,strain
5800,48.94,8.62,9.56,32.88,Medium,strain
5961,46.45,23.48,14.85,15.22,Medium,stable
4390,67.2,25.09,29.15,0.0,High,growth
4325,43.74,29.08,7.22,19.96,Low,strain
4940,68.54,14.89,20.06,0.0,High,growth
4889,66.41,13.44,7.27,12.88,Medium,growth
5856,55.22,9.81,8.92,26.05,Low,growth
5181,53.19,9.52,20.12,17.16,Low,stable
4668,44.8,13.03,16.1,26.07,Medium,strain
5675,30.73,29.55,18.71,21.01,Low,growth
4633,35.1,7.31,27.0,30.59,Low,stable
4577,60.17,11.48,25.43,2.92,High,strain
5643,48.86,7.15,27.2,16.79,Low,stable
5683,35.99,11.84,20.41,31.76,Low,strain
4137,40.56,7.31,17.24,34.89,High,strain
5947,67.91,17.71,16.48,0.0,Medium,stable
5698,44.69,15.96,23.5,15.86,High,growth
4428,66.31,9.35,18.03,6.31,Medium,strain
5476,42.19,9.37,7.64,40.8,Medium,strain
4612,51.73,20.65,8.55,19.07,Medium,growth
5874,30.82,14.68,13.93,40.58,High,strain
4911,50.88,6.4,6.7,36.02,Medium,growth
4819,55.48,28.0,10.98,5.54,High,strain
4141,39.37,15.12,21.41,24.09,High,growth
5107,53.16,19.78,5.31,21.76,Medium,strain
4177,55.89,27.14,20.1,0.0,Medium,strain
4198,57.48,15.05,24.31,3.16,High,strain
4624,61.06,25.52,9.25,4.17,High,growth
5592,42.45,27.87,9.52,20.15,Medium,strain
5996,52.71,9.35,5.72,32.22,Medium,stable
4691,69.26,27.31,17.81,0.0,Medium,stable
5445,65.93,8.0,21.36,4.71,High,stable
4401,68.11,11.88,16.42,3.59,High,strain
5722,45.45,25.21,14.74,14.61,High,growth
4471,61.48,27.52,16.36,0.0,Medium,growth
4218,54.8,22.1,24.54,0.0,Low,strain
5949,33.31,7.62,5.84,53.23,Low,stable
4929,62.96,18.07,24.6,0.0,Low,growth
5852,57.08,19.32,21.66,1.94,Low,strain
5753,37.96,12.05,11.04,38.96,Low,growth
4632,33.19,29.78,18.12,18.91,High,stable
4951,63.48,13.39,6.23,16.9,Medium,stable
4906,33.16,10.26,14.49,42.1,Medium,growth
4175,33.65,7.75,9.35,49.24,Medium,strain
4023,47.1,14.46,5.56,32.88,Medium,strain
5749,35.39,22.32,13.93,28.37,Medium,growth
5941,66.55,10.79,23.15,0.0,Low,stable
4235,48.81,24.24,28.03,0.0,Medium,strain
5037,52.77,8.39,21.56,17.29,Medium,growth
5125,67.12,16.01,15.05,1.81,Low,growth
4929,51.21,22.56,29.99,0.0,Medium,stable
5560,44.14,8.38,12.07,35.4,Low,stable
5900,61.89,19.95,9.68,8.49,Low,strain
4523,47.71,24.97,16.59,10.72,High,strain
5809,42.74,19.89,17.62,19.75,Medium,strain
5476,58.93,17.79,13.87,9.41,Medium,stable
4431,62.06,25.96,22.39,0.0,Medium,growth
4793,61.67,29.64,9.6,0.0,Low,strain
5630,69.11,9.53,17.76,3.6,High,strain
5737,61.47,22.28,17.5,0.0,Medium,strain
4533,60.8,7.02,25.59,6.59,Low,growth
5876,64.3,6.07,28.17,1.46,Low,strain
4979,30.01,12.02,21.58,36.39,Low,strain
5747,44.5,29.27,12.63,13.6,Low,stable
5676,59.5,18.8,22.24,0.0,High,stable
5317,53.99,11.71,11.28,23.02,High,stable
4810,37.1,8.31,29.16,25.42,Low,growth
4913,42.15,28.0,25.56,4.29,Medium,stable
5125,43.47,14.06,15.78,26.69,High,strain
5526,52.71,12.67,24.61,10.01,Medium,strain
5328,63.26,26.45,15.22,0.0,Medium,growth
4871,67.3,20.11,6.87,5.73,High,growth
4540,60.0,9.22,22.67,8.11,Medium,strain
5024,63.72,15.54,15.12,5.63,High,growth
5577,48.8,28.21,28.26,0.0,High,strain
5379,45.59,27.53,12.66,14.21,Medium,stable
5327,45.71,6.75,26.08,21.46,Medium,strain
5520,54.64,11.72,22.01,11.63,Low,growth
5682,34.97,8.86,26.33,29.83,High,stable
5792,53.18,18.35,12.3,16.18,Medium,strain
5998,56.61,23.75,16.53,3.11,High,growth
4227,47.56,12.39,25.58,14.48,Low,growth
5260,68.13,23.95,21.1,0.0,Low,stable
4873,54.33,21.72,14.0,9.96,Low,strain
4892,38.8,23.21,17.8,20.19,Low,strain
5479,49.17,28.71,29.9,0.0,Low,growth
5037,57.02,15.62,23.55,3.82,Low,stable
4210,42.95,13.56,20.36,23.13,Low,strain
4741,33.19,22.1,25.7,19.02,Low,stable
4397,53.34,25.19,16.05,5.42,High,growth
5124,67.91,9.79,28.75,0.0,Medium,strain
4031,49.4,26.17,18.8,5.63,High,growth
4898,66.24,6.45,13.17,14.14,High,strain
5552,63.4,5.16,7.15,24.29,Medium,growth
4649,35.9,8.96,14.39,40.75,Medium,strain
4329,58.33,29.47,19.22,0.0,Low,stable
5190,47.42,18.09,22.58,11.91,Medium,strain
5483,40.01,6.16,26.88,26.95,High,strain
5846,57.48,29.93,28.6,0.0,Low,growth
4952,59.71,23.62,7.56,9.11,High,strain
5124,37.2,25.95,20.02,16.83,Medium,strain
4621,66.58,10.32,21.66,1.43,High,strain
5879,60.05,7.64,9.3,23.02,High,growth
5197,67.34,17.88,18.64,0.0,Low,strain
5773,42.68,24.3,13.37,19.64,Low,stable
4162,67.57,20.94,6.94,4.55,High,stable
5929,44.74,20.78,6.65,27.84,Medium,growth
5752,32.16,23.93,23.98,19.93,Low,strain
4776,60.52,10.68,20.39,8.42,High,growth
5287,58.14,21.54,22.88,0.0,Low,strain
5828,53.92,14.8,22.13,9.15,Low,growth
4274,49.6,6.74,8.36,35.3,Medium,strain
5027,31.29,10.05,8.79,49.87,High,strain
5052,54.98,24.85,11.31,8.85,High,growth
4326,46.67,27.4,14.98,10.95,High,growth
4940,52.41,12.07,28.48,7.04,High,growth
5173,47.17,9.76,21.85,21.22,High,strain
4540,68.64,5.67,11.38,14.31,Low,growth
4488,54.16,28.69,6.4,10.74,Low,strain
4822,59.97,22.1,22.11,0.0,Low,stable
5462,67.45,28.93,20.63,0.0,Low,stable
5089,53.66,26.6,21.89,0.0,Medium,strain
4356,30.48,13.51,11.53,44.48,Medium,strain
5557,31.37,7.82,17.92,42.89,High,growth
5276,58.09,17.48,14.04,10.39,Medium,strain
4235,41.16,5.67,25.44,27.72,Low,strain
4227,53.18,8.75,6.73,31.34,Low,stable
5549,38.09,10.84,11.89,39.19,Low,growth
5337,40.81,21.64,20.07,17.48,Low,growth
4049,50.19,17.75,10.13,21.94,Low,strain
4118,69.02,12.56,21.82,0.0,High,growth
4054,54.65,19.12,8.42,17.81,High,stable
5674,67.45,8.13,5.57,18.85,Low,stable
4565,68.38,23.89,26.59,0.0,High,stable
5068,38.32,22.8,13.34,25.54,Medium,strain
5839,42.45,10.41,8.92,38.22,Medium,strain
4053,60.8,20.16,9.32,9.72,Low,stable
5610,64.67,17.58,27.15,0.0,High,stable
4558,50.77,6.52,21.36,21.35,Low,growth
5549,69.73,11.95,28.91,0.0,High,growth
5701,30.46,29.99,25.0,14.55,Low,growth
5126,41.98,7.49,24.19,26.34,Low,growth
5816,54.93,17.66,17.5,9.92,Low,stable
5794,48.77,26.23,25.52,0.0,Medium,growth
5873,34.66,12.52,15.32,37.5,High,stable
4868,44.71,11.52,25.68,18.1,High,stable
4398,31.02,27.27,23.94,17.77,Medium,strain
5162,55.71,12.62,21.96,9.71,Medium,growth
4675,65.71,21.29,13.24,0.0,High,stable
5945,65.39,23.51,20.77,0.0,High,strain
4387,57.98,24.72,17.67,0.0,Low,strain
4111,48.63,29.87,16.54,4.96,Low,stable
4614,50.48,25.08,29.76,0.0,High,stable
4017,35.48,21.43,17.61,25.49,High,growth
5804,43.64,27.39,5.8,23.17,Low,growth
5206,37.51,27.64,20.66,14.19,Medium,stable
4884,62.85,29.33,23.2,0.0,High,stable
5560,66.59,24.41,27.13,0.0,High,strain
4541,51.48,9.87,20.82,17.83,Medium,strain
4171,59.11,22.75,5.49,12.66,Medium,strain
4409,34.86,6.88,7.99,50.27,Medium,strain
4740,54.34,12.95,9.03,23.68,High,strain
5402,58.11,7.9,10.28,23.71,High,growth
5212,48.11,28.75,24.99,0.0,High,strain
4858,39.73,13.47,12.74,34.06,Low,stable
4230,65.09,22.83,12.81,0.0,Medium,growth
5857,59.72,19.28,23.89,0.0,Medium,strain
5876,65.99,7.69,15.31,11.01,Low,strain
4119,62.74,19.03,6.62,11.61,Low,strain
5180,69.61,21.53,19.63,0.0,Low,stable
4784,37.69,27.04,8.25,27.02,Low,strain
5711,33.47,6.75,19.29,40.49,Medium,stable
4465,43.48,12.39,24.49,19.64,Low,stable
4104,35.16,22.31,28.24,14.29,Low,strain
5628,50.93,5.86,6.68,36.54,Medium,strain
4698,55.32,10.09,12.6,21.99,Medium,growth
5996,53.13,10.47,21.31,15.09,Medium,growth
5819,40.37,21.73,12.89,25.01,Medium,growth
5526,66.35,12.15,16.28,5.22,High,stable
5717,30.85,19.99,5.5,43.66,High,strain
5706,43.92,29.13,22.34,4.61,High,growth
5723,58.76,24.83,27.08,0.0,High,stable
4175,60.68,13.32,29.42,0.0,Medium,growth
5758,46.64,16.81,25.76,10.78,High,growth
4745,30.68,10.02,5.79,53.51,Low,strain
5698,54.72,5.39,21.3,18.59,Low,strain
5445,32.52,12.24,17.39,37.84,Low,stable
5158,34.31,14.24,28.45,23.0,High,strain
5415,56.01,19.11,27.55,0.0,High,growth
5760,42.5,28.6,29.7,0.0,Low,stable
5525,43.92,28.7,26.55,0.83,High,stable
4665,49.47,6.75,18.67,25.1,Medium,stable
4033,69.14,20.37,22.87,0.0,High,stable
4055,68.62,6.06,29.12,0.0,Low,strain
5978,46.65,21.2,19.45,12.69,Low,growth
4519,40.62,7.94,26.0,25.44,High,strain
4756,42.1,28.66,28.56,0.68,High,strain
5849,40.75,26.61,19.26,13.38,Low,stable
5662,51.29,5.56,8.98,34.17,Low,strain
4012,54.27,24.55,8.89,12.28,High,strain
5552,49.55,20.9,7.88,21.67,High,growth
4720,46.32,17.38,16.91,19.39,Low,stable
4555,38.45,20.07,17.0,24.48,Low,strain
4373,49.3,21.96,20.43,8.31,Low,stable
4484,43.64,27.11,17.07,12.17,Low,growth
4973,51.66,24.18,29.33,0.0,Low,strain
5671,57.01,19.38,12.28,11.33,Low,growth
5252,55.33,25.62,26.85,0.0,Low,growth
4623,48.5,29.67,7.51,14.32,High,stable
4307,52.24,12.5,20.05,15.21,Medium,stable
4457,41.39,7.96,21.21,29.44,Medium,stable
4160,30.97,23.29,24.31,21.44,High,strain
4331,55.0,29.46,17.58,0.0,Medium,stable
4776,40.1,7.92,9.93,42.05,High,strain
4225,56.76,15.79,14.22,13.22,High,growth
4983,59.88,6.56,11.8,21.76,High,stable
4729,66.64,24.41,15.48,0.0,High,growth
5528,68.32,28.72,18.25,0.0,Medium,stable
5480,30.42,17.47,20.63,31.48,High,growth
5069,69.61,15.24,26.13,0.0,Low,strain
5238,57.32,27.69,27.75,0.0,High,growth
5083,55.74,8.33,16.56,19.36,Medium,strain
4644,30.61,27.29,7.22,34.89,Medium,stable
4616,64.45,14.8,24.93,0.0,Medium,stable
4195,35.82,18.99,16.93,28.27,Medium,stable
5949,63.49,18.21,18.66,0.0,Low,strain
4489,30.62,20.4,19.89,29.08,High,stable
4157,55.84,28.55,21.7,0.0,Low,strain
4610,47.39,28.78,27.25,0.0,High,strain
5250,38.03,25.78,28.8,7.39,High,growth
4412,34.3,9.79,28.5,27.4,Low,stable
5229,47.61,13.34,25.24,13.82,Low,growth
5103,34.93,17.2,27.23,20.64,Medium,strain
5148,49.46,27.64,6.24,16.66,High,growth
4471,55.01,18.02,26.23,0.74,High,stable
5964,63.1,29.44,6.81,0.66,High,strain
5242,57.15,29.6,23.65,0.0,High,growth
4516,32.61,19.96,9.23,38.19,High,stable
5626,42.3,26.94,14.0,16.76,High,stable
5128,41.52,29.98,9.6,18.9,Medium,growth
4393,66.6,26.24,16.09,0.0,High,strain
4631,64.71,21.42,15.29,0.0,Medium,stable
5669,44.81,26.13,6.2,22.86,High,strain
5848,32.85,7.07,25.76,34.32,High,stable
4608,65.76,20.87,26.35,0.0,Low,strain
4980,65.53,10.41,24.69,0.0,High,strain
4434,64.19,7.9,26.19,1.72,Low,stable
5355,63.8,27.32,23.77,0.0,Low,growth
5167,49.21,20.99,28.44,1.36,Low,growth
5824,37.1,11.09,19.41,32.4,Medium,growth
4540,49.1,14.67,19.57,16.66,Low,strain
4278,49.78,29.33,26.5,0.0,Low,growth
4233,49.6,26.55,13.74,10.11,Low,growth
5553,51.55,5.39,6.25,36.81,High,stable
5595,40.31,29.5,23.75,6.45,Medium,strain
5114,44.65,14.21,11.36,29.77,Medium,growth
5516,47.37,22.39,16.86,13.39,Medium,stable
5223,35.24,22.82,11.01,30.93,Medium,strain
4362,48.21,27.79,25.68,0.0,High,stable
5465,62.42,27.13,28.96,0.0,Low,growth
4026,63.12,12.04,6.38,18.46,High,strain
5049,46.46,21.09,10.83,21.61,Medium,strain
5418,50.75,14.84,9.74,24.67,High,growth
4507,31.35,18.14,21.83,28.69,High,stable
5325,56.98,18.87,15.72,8.44,Medium,strain
5363,46.18,14.91,16.41,22.5,Low,strain
4267,47.82,16.6,8.93,26.66,High,strain
4461,64.95,10.21,15.37,9.48,Medium,growth
5717,48.47,20.19,12.58,18.75,High,stable
4456,30.85,23.97,20.28,24.9,High,growth
5384,39.1,15.74,10.43,34.73,High,strain
5092,49.02,29.44,20.37,1.16,Low,stable
5007,46.98,6.43,14.44,32.15,High,stable
4863,64.41,19.73,13.66,2.2,High,growth
5436,51.69,19.59,12.64,16.09,Low,growth
5995,57.59,5.91,21.85,14.66,High,strain
4491,48.77,10.61,19.06,21.55,High,growth
5857,47.59,27.64,26.29,0.0,Low,growth
5073,47.85,18.61,11.04,22.5,Medium,growth
5711,46.44,15.91,6.0,31.65,High,growth
4564,51.54,15.39,9.55,23.52,Medium,growth
5126,40.02,27.2,13.58,19.19,Medium,strain
4216,65.64,14.18,9.49,10.69,Medium,stable
5462,43.32,26.48,7.09,23.11,Low,growth
5724,35.9,12.73,16.13,35.24,Low,stable
5593,33.86,18.29,21.92,25.93,High,stable
4559,30.54,8.6,23.79,37.08,Medium,growth
4159,46.91,25.63,14.97,12.49,Low,growth
4489,37.5,23.4,16.95,22.15,Low,stable
4686,30.87,18.25,23.89,26.99,Medium,strain
5266,50.8,5.65,13.82,29.73,Low,stable
4794,57.2,17.03,24.62,1.15,Medium,strain
5777,33.43,10.63,29.18,26.76,Low,stable
5906,48.44,15.33,27.01,9.22,Medium,growth
4005,59.75,26.41,16.34,0.0,Low,strain
5620,69.43,24.24,19.49,0.0,Low,stable
5844,56.69,11.05,22.91,9.35,Low,strain
4361,39.79,29.62,13.73,16.85,Low,growth
4459,58.66,27.58,24.98,0.0,Medium,strain
4248,53.92,18.22,15.92,11.94,High,growth
5590,38.47,18.25,26.17,17.1,High,growth
5697,64.04,27.53,11.37,0.0,Low,strain
4946,47.1,20.9,5.28,26.72,High,growth
4422,68.48,18.42,20.82,0.0,Low,growth
5947,58.92,23.73,16.3,1.06,High,growth
5762,55.78,10.88,6.5,26.84,Low,strain
4015,59.13,26.96,17.19,0.0,High,growth
4736,49.12,18.29,9.21,23.38,High,stable
5597,50.21,20.09,20.74,8.96,Low,growth
5146,64.05,7.25,16.13,12.58,High,stable
4277,57.24,12.74,9.28,20.75,Low,strain
5582,65.89,15.67,15.3,3.14,High,stable
4453,65.63,15.35,10.82,8.2,Medium,growth
5414,69.06,24.46,21.33,0.0,Medium,growth
5318,58.01,12.06,12.38,17.55,Medium,growth
5598,50.09,9.55,25.55,14.8,Low,growth
4598,36.65,19.57,5.35,38.43,Low,growth
4446,58.22,20.38,15.09,6.32,Low,growth
4210,41.66,8.04,20.43,29.87,Medium,strain
5614,41.32,5.06,5.57,48.06,High,growth
4714,39.53,27.94,10.4,22.13,Low,stable
4302,65.0,6.99,13.19,14.82,Medium,stable
5933,64.72,27.45,5.55,2.29,Low,stable
5247,55.24,14.98,18.67,11.11,Low,strain
5758,48.92,21.33,20.77,8.98,High,stable
4003,56.88,9.64,10.69,22.79,Low,stable
4990,54.29,25.6,18.59,1.53,Low,stable
5542,46.63,9.5,29.98,13.89,High,strain
5117,45.19,14.66,27.17,12.98,Low,stable
4520,45.31,10.95,6.47,37.27,Low,stable
5452,53.57,25.94,8.2,12.3,High,strain
4493,55.91,26.46,17.36,0.27,Low,growth
5259,48.07,14.3,11.13,26.5,Low,stable
4620,68.75,12.68,7.02,11.54,Medium,growth
5185,33.35,24.34,11.36,30.94,High,stable
5745,43.88,26.96,6.53,22.63,Medium,strain
5776,46.76,20.6,18.25,14.39,High,growth
4331,30.68,28.19,17.26,23.88,Low,strain
4333,44.6,14.58,5.16,35.67,Medium,growth
4050,40.95,8.8,17.06,33.19,Medium,strain
5547,50.24,9.49,18.0,22.27,Medium,growth
4863,43.46,21.75,20.14,14.66,Medium,growth
5692,59.05,15.19,29.25,0.0,High,growth
5516,50.4,8.91,29.57,11.13,Low,stable
5606,35.19,12.31,18.17,34.33,Low,growth
5705,60.0,18.27,26.13,0.0,Medium,growth
4272,33.97,8.04,7.13,50.87,Low,stable
4580,63.56,5.09,18.28,13.07,Low,stable
5891,67.26,27.93,21.97,0.0,High,strain
5276,42.9,12.62,19.12,25.36,Low,strain
4560,67.05,10.54,10.77,11.65,Low,stable
4696,61.72,22.46,6.57,9.25,Low,stable
5856,66.9,26.34,14.67,0.0,Low,stable
5723,56.65,20.81,21.19,1.35,Medium,stable
5114,39.43,11.36,29.79,19.42,High,stable
4446,65.78,26.54,10.91,0.0,High,strain
5017,37.37,17.76,27.94,16.92,High,stable
5356,38.52,14.53,6.71,40.24,Low,stable
5163,40.84,20.12,28.27,10.76,Medium,strain
4357,42.17,22.52,25.81,9.51,High,growth
5625,50.58,19.85,5.52,24.05,Medium,strain
4274,58.54,28.01,12.45,1.0,High,strain
5043,67.05,20.7,6.27,5.98,Medium,stable
4311,33.54,26.96,29.89,9.61,Low,growth
4870,68.17,19.67,15.7,0.0,Low,strain
4886,66.85,13.24,21.55,0.0,High,growth
4154,32.16,18.31,10.85,38.68,High,strain
5414,44.41,7.16,28.34,20.09,High,stable
5284,62.53,10.75,11.85,14.87,Low,strain
4620,54.46,24.16,11.51,9.88,Low,strain
4883,61.16,21.54,12.87,4.43,High,strain
4797,58.76,9.16,16.56,15.51,High,growth
5595,49.87,15.95,5.46,28.72,Low,growth
4125,31.65,8.55,19.95,39.86,High,stable
5378,53.37,26.4,5.79,14.44,High,growth
5297,31.94,7.73,18.48,41.85,High,growth
4619,54.15,21.36,16.45,8.05,Low,growth
5835,62.02,20.18,11.06,6.74,Low,stable
4245,53.4,16.82,13.24,16.54,Medium,stable
4848,69.88,11.96,22.64,0.0,Medium,stable
4450,48.23,15.1,5.24,31.43,Medium,stable
4930,59.95,25.16,12.92,1.97,Medium,strain
5271,56.69,24.04,22.01,0.0,High,stable
4520,69.66,23.47,8.81,0.0,Low,stable
5165,58.53,23.75,19.01,0.0,Low,strain
4362,36.56,8.6,9.22,45.62,Medium,strain
4008,68.22,7.48,8.87,15.43,High,growth
4478,56.71,26.54,24.31,0.0,Low,growth
5376,32.37,25.93,11.66,30.03,Low,stable
4495,56.3,22.03,14.39,7.27,High,growth
5630,65.32,20.15,23.25,0.0,High,strain
4833,53.08,14.17,9.49,23.26,Medium,growth
5451,44.16,10.6,18.29,26.94,Medium,growth
